ID;age;job;housing;saving_accounts;checking_account;credit_amount;duration;purpose
96;61.0;2;own;little;little;2012;12-month;education
97;34.0;2;own;moderate;moderate;2622;18-month;business
98;36.0;2;own;little;moderate;2337;36-month;radio/TV
99;;3;rent;little;moderate;7057;20-month;car
100;41.0;1;rent;moderate;little;1469;24-month;car
101;24.0;2;rent;little;moderate;2323;36-month;radio/TV
102;24.0;2;own;little;little;932;6-month;radio/TV
103;35.0;2;rent;little;moderate;1919;9-month;furniture/equipment
104;26.0;2;rent;little;little;2445;12-month;car
105;39.0;3;own;little;moderate;11938;24-month;vacation/others
106;39.0;3;own;little;little;6458;18-month;car
107;32.0;2;own;little;moderate;6078;12-month;car
108;30.0;2;own;little;little;7721;24-month;furniture/equipment
109;35.0;2;own;quite rich;moderate;1410;14-month;business
110;31.0;2;own;moderate;moderate;1449;6-month;business
111;23.0;2;rent;little;rich;392;15-month;education
112;28.0;1;rent;little;moderate;6260;18-month;car
113;25.0;2;own;little;little;7855;36-month;car
114;35.0;2;own;quite rich;little;1680;12-month;radio/TV
115;47.0;2;own;little;little;3578;48-month;radio/TV
116;30.0;3;own;little;little;7174;42-month;radio/TV
117;27.0;2;rent;little;little;2132;10-month;furniture/equipment
118;;2;own;quite rich;little;4281;33-month;furniture/equipment
119;36.0;3;own;quite rich;moderate;2366;12-month;car
120;25.0;2;own;little;little;1835;21-month;radio/TV
121;41.0;3;rent;little;little;3868;24-month;car
122;24.0;1;rent;little;little;1768;12-month;furniture/equipment
123;;2;free;little;rich;781;10-month;car
124;27.0;2;rent;little;moderate;1924;18-month;furniture/equipment
125;30.0;2;own;little;little;2121;12-month;car
126;40.0;1;own;little;little;701;12-month;radio/TV
127;30.0;2;own;little;moderate;639;12-month;repairs
128;34.0;3;own;little;moderate;1860;12-month;car
129;29.0;2;own;little;little;3499;12-month;car
130;24.0;2;own;little;moderate;8487;48-month;car
131;29.0;2;own;little;little;6887;36-month;education
132;27.0;1;own;little;little;2708;15-month;furniture/equipment
133;47.0;2;free;little;little;1984;18-month;furniture/equipment
134;21.0;2;own;moderate;little;10144;60-month;radio/TV
135;38.0;2;own;little;little;1240;12-month;radio/TV
136;27.0;2;own;rich;little;8613;27-month;car
137;66.0;1;own;quite rich;moderate;766;12-month;radio/TV
138;;2;own;little;moderate;2728;15-month;radio/TV
139;44.0;1;rent;little;rich;1881;12-month;radio/TV
140;27.0;0;own;rich;rich;709;6-month;car
141;30.0;3;own;little;moderate;4795;36-month;radio/TV
142;27.0;3;own;little;little;3416;27-month;radio/TV
143;22.0;2;own;little;little;2462;18-month;furniture/equipment
144;23.0;2;own;little;little;2288;21-month;furniture/equipment
145;30.0;2;own;moderate;moderate;3566;48-month;business
146;39.0;2;own;little;little;860;6-month;car
147;51.0;2;own;moderate;little;682;12-month;car
148;28.0;2;own;little;little;5371;36-month;furniture/equipment
149;46.0;2;own;rich;little;1582;18-month;radio/TV
150;42.0;2;free;moderate;little;1346;6-month;radio/TV
151;38.0;2;own;little;little;1924;10-month;radio/TV
152;24.0;2;own;little;rich;5848;36-month;radio/TV
153;29.0;2;rent;rich;moderate;7758;24-month;car
154;36.0;3;rent;moderate;moderate;6967;24-month;business
155;20.0;2;rent;little;little;1282;12-month;furniture/equipment
156;48.0;2;own;moderate;little;1288;9-month;repairs
157;45.0;1;own;little;little;339;12-month;education
158;38.0;2;own;moderate;moderate;3512;24-month;car
159;34.0;1;own;little;little;1898;6-month;radio/TV
160;36.0;2;own;moderate;little;2872;24-month;radio/TV
161;30.0;2;own;little;little;1055;18-month;car
162;36.0;2;own;quite rich;little;1262;15-month;domestic appliances
163;70.0;3;;little;moderate;7308;10-month;car
164;36.0;2;own;quite rich;little;909;36-month;car
165;32.0;2;own;quite rich;little;2978;6-month;furniture/equipment
166;33.0;2;own;little;little;1131;18-month;furniture/equipment
167;20.0;2;own;rich;moderate;1577;11-month;furniture/equipment
168;25.0;2;rent;little;little;3972;24-month;furniture/equipment
169;31.0;2;own;little;moderate;1935;24-month;business
170;33.0;2;rent;little;little;950;15-month;car
171;26.0;2;own;little;little;763;12-month;furniture/equipment
172;34.0;3;own;little;moderate;2064;24-month;furniture/equipment
173;33.0;2;own;little;moderate;1414;8-month;radio/TV
174;26.0;2;own;little;little;3414;21-month;education
175;53.0;3;own;little;little;7485;30-month;car
176;42.0;2;own;little;little;2577;12-month;furniture/equipment
177;52.0;2;;quite rich;little;338;6-month;radio/TV
178;31.0;3;rent;little;little;1963;12-month;radio/TV
179;65.0;2;own;little;little;571;21-month;car
180;28.0;2;own;little;little;9572;36-month;business
181;30.0;3;own;little;moderate;4455;36-month;business
182;40.0;1;own;little;little;1647;21-month;car
183;50.0;2;own;rich;little;3777;24-month;furniture/equipment
184;36.0;2;own;little;moderate;884;18-month;car
185;31.0;2;own;little;little;1360;15-month;radio/TV
186;74.0;3;free;little;moderate;5129;9-month;car
187;68.0;0;free;little;moderate;1175;16-month;car
188;20.0;2;own;moderate;little;674;12-month;radio/TV
189;33.0;2;own;little;moderate;3244;18-month;furniture/equipment
190;54.0;3;own;rich;little;4591;24-month;business
191;34.0;1;free;moderate;moderate;3844;48-month;business
192;36.0;2;own;little;moderate;3915;27-month;business
193;29.0;2;rent;little;little;2108;6-month;radio/TV
194;21.0;2;rent;moderate;moderate;3031;45-month;radio/TV
195;34.0;3;own;little;moderate;1501;9-month;education
196;28.0;2;own;little;little;1382;6-month;radio/TV
197;27.0;2;rent;moderate;moderate;951;12-month;furniture/equipment
198;36.0;2;free;little;moderate;2760;24-month;car
199;40.0;3;own;little;moderate;4297;18-month;furniture/equipment
200;52.0;2;own;quite rich;little;936;9-month;education
201;27.0;1;own;little;little;1168;12-month;car
202;26.0;2;own;little;little;5117;27-month;business
203;21.0;2;rent;little;little;902;12-month;education
204;38.0;1;own;little;little;1495;12-month;car
205;38.0;3;free;little;little;10623;30-month;car
206;43.0;2;own;little;little;1935;12-month;furniture/equipment
207;26.0;2;own;little;moderate;1424;12-month;domestic appliances
208;21.0;1;own;little;little;6568;24-month;business
209;55.0;2;own;rich;little;1413;12-month;car
210;33.0;2;own;little;little;3074;9-month;radio/TV
211;45.0;1;;little;little;3835;36-month;radio/TV
212;50.0;2;own;little;little;5293;27-month;business
213;;3;own;little;rich;1908;30-month;business
214;51.0;2;own;little;little;3342;36-month;radio/TV
215;39.0;1;own;little;moderate;932;6-month;education
216;;2;own;little;little;3104;18-month;business
217;23.0;2;own;little;rich;3913;36-month;radio/TV
218;24.0;1;rent;little;little;3021;24-month;furniture/equipment
219;;2;own;little;little;1364;10-month;car
220;26.0;1;own;little;moderate;625;12-month;radio/TV
221;23.0;2;rent;little;little;1200;12-month;education
222;30.0;2;own;little;little;707;12-month;radio/TV
223;32.0;2;own;little;little;2978;24-month;business
224;30.0;2;own;little;little;4657;15-month;car
225;27.0;2;own;little;little;2613;36-month;repairs
226;27.0;2;own;rich;moderate;10961;48-month;radio/TV
227;53.0;3;free;little;little;7865;12-month;furniture/equipment
228;22.0;2;own;little;little;1478;9-month;radio/TV
229;22.0;2;free;little;little;3149;24-month;furniture/equipment
230;26.0;2;;little;rich;4210;36-month;radio/TV
231;51.0;1;free;quite rich;little;2507;9-month;car
232;35.0;2;own;moderate;little;2141;12-month;radio/TV
233;25.0;1;own;little;moderate;866;18-month;radio/TV
234;;1;own;little;little;1544;4-month;radio/TV
235;30.0;3;own;little;little;1823;24-month;radio/TV
236;23.0;0;own;little;moderate;14555;6-month;car
237;;1;rent;moderate;moderate;2767;21-month;business
238;35.0;2;own;little;little;1291;12-month;radio/TV
239;39.0;2;own;little;little;2522;30-month;radio/TV
240;29.0;2;own;little;little;915;24-month;car
241;51.0;2;;little;little;1595;6-month;radio/TV
242;24.0;2;free;little;little;4605;48-month;car
243;27.0;2;own;little;little;1185;12-month;business
244;35.0;1;own;quite rich;little;3447;12-month;education
245;25.0;2;own;little;little;1258;24-month;business
246;52.0;2;own;little;little;717;12-month;radio/TV
247;35.0;2;rent;moderate;little;1204;6-month;car
248;26.0;2;own;little;rich;1925;24-month;furniture/equipment
249;22.0;2;rent;little;little;433;18-month;radio/TV
250;39.0;1;own;rich;little;666;6-month;car
251;46.0;1;own;little;rich;2251;12-month;furniture/equipment
252;24.0;2;own;little;moderate;2150;30-month;car
253;35.0;2;own;moderate;little;4151;24-month;furniture/equipment
254;24.0;2;own;little;moderate;2030;9-month;furniture/equipment
255;27.0;1;own;little;moderate;7418;60-month;radio/TV
256;;1;own;little;little;2684;24-month;radio/TV
257;;2;free;little;little;2149;12-month;radio/TV
258;;2;own;moderate;little;3812;15-month;car
259;57.0;1;own;moderate;little;1154;11-month;radio/TV
260;27.0;2;own;little;little;1657;12-month;furniture/equipment
261;55.0;2;own;little;little;1603;24-month;radio/TV
262;36.0;3;;little;little;5302;18-month;car
263;57.0;1;free;little;little;2748;12-month;education
264;32.0;1;own;little;little;1231;10-month;car
265;37.0;2;own;little;moderate;802;15-month;radio/TV
266;36.0;2;own;little;little;6304;36-month;business
267;38.0;2;own;little;little;1533;24-month;radio/TV
268;45.0;3;own;little;little;8978;14-month;car
269;25.0;2;own;little;little;999;24-month;radio/TV
270;32.0;2;own;little;little;2662;18-month;car
271;37.0;2;rent;quite rich;little;1402;12-month;furniture/equipment
272;36.0;3;free;little;moderate;12169;48-month;car
273;28.0;2;own;little;moderate;3060;48-month;radio/TV
274;34.0;1;own;little;little;11998;30-month;repairs
275;32.0;2;own;little;little;2697;9-month;radio/TV
276;26.0;2;own;little;little;2404;18-month;radio/TV
277;49.0;1;own;little;little;1262;12-month;furniture/equipment
278;32.0;2;own;little;little;4611;6-month;furniture/equipment
279;29.0;3;rent;moderate;little;1901;24-month;radio/TV
280;23.0;2;rent;rich;little;3368;15-month;car
281;50.0;2;own;little;little;1574;12-month;furniture/equipment
282;49.0;1;own;little;rich;1445;18-month;radio/TV
283;63.0;2;own;little;little;1520;15-month;furniture/equipment
284;;2;own;moderate;moderate;3878;24-month;car
285;35.0;1;own;little;little;10722;47-month;car
286;26.0;2;;little;little;4788;48-month;car
287;31.0;3;free;moderate;moderate;7582;48-month;vacation/others
288;49.0;2;own;little;moderate;1092;12-month;radio/TV
289;48.0;2;own;little;little;1024;24-month;radio/TV
290;26.0;2;own;little;little;1076;12-month;business
291;28.0;3;;little;moderate;9398;36-month;car
292;44.0;3;free;little;little;6419;24-month;car
293;56.0;2;free;little;rich;4796;42-month;car
294;46.0;3;own;little;little;7629;48-month;business
295;26.0;2;;little;moderate;9960;48-month;furniture/equipment
296;20.0;2;rent;little;little;4675;12-month;car
297;45.0;1;own;little;little;1287;10-month;car
298;43.0;2;own;little;little;2515;18-month;furniture/equipment
299;32.0;2;own;rich;moderate;2745;21-month;furniture/equipment
300;54.0;0;own;little;little;672;6-month;car
301;42.0;2;own;little;moderate;3804;36-month;radio/TV
302;37.0;1;own;little;rich;1344;24-month;car
303;49.0;2;own;little;little;1038;10-month;car
304;44.0;2;free;quite rich;little;10127;48-month;car
305;33.0;2;own;rich;little;1543;6-month;furniture/equipment
306;;1;rent;little;little;4811;30-month;car
307;33.0;1;own;moderate;little;727;12-month;radio/TV
308;24.0;2;own;little;moderate;1237;8-month;furniture/equipment
309;22.0;1;rent;little;moderate;276;9-month;car
310;40.0;0;free;little;moderate;5381;48-month;vacation/others
311;25.0;2;own;moderate;little;5511;24-month;furniture/equipment
312;26.0;2;own;little;rich;3749;24-month;furniture/equipment
313;25.0;1;own;little;moderate;685;12-month;car
314;29.0;1;own;little;rich;1494;4-month;car
315;31.0;2;own;little;little;2746;36-month;furniture/equipment
316;38.0;1;own;little;little;708;12-month;furniture/equipment
317;48.0;1;own;little;moderate;4351;24-month;furniture/equipment
318;32.0;2;own;little;little;701;12-month;education
319;27.0;1;own;little;little;3643;15-month;furniture/equipment
320;28.0;3;own;little;moderate;4249;30-month;car
321;32.0;2;own;little;little;1938;24-month;radio/TV
322;34.0;3;free;little;little;2910;24-month;car
323;28.0;2;own;rich;little;2659;18-month;furniture/equipment
324;36.0;2;own;little;little;1028;18-month;car
325;;1;own;little;little;3398;8-month;car
326;;2;rent;little;little;5801;12-month;furniture/equipment
327;34.0;2;own;rich;little;1525;24-month;car
328;31.0;2;own;little;rich;4473;36-month;radio/TV
329;;2;own;little;moderate;1068;6-month;radio/TV
330;75.0;3;free;little;little;6615;24-month;car
331;30.0;2;own;moderate;little;1864;18-month;education
332;24.0;3;own;moderate;moderate;7408;60-month;car
333;24.0;1;rent;moderate;little;11590;48-month;car
334;23.0;2;rent;little;little;4110;24-month;furniture/equipment
335;44.0;3;rent;little;little;3384;6-month;furniture/equipment
336;23.0;1;own;little;moderate;2101;13-month;radio/TV
337;24.0;2;rent;little;little;1275;15-month;domestic appliances
338;28.0;2;own;little;little;4169;24-month;furniture/equipment
339;31.0;1;;little;moderate;1521;10-month;furniture/equipment
340;24.0;2;free;little;moderate;5743;24-month;education
341;26.0;1;rent;little;little;3599;21-month;furniture/equipment
342;25.0;2;rent;quite rich;moderate;3213;18-month;radio/TV
343;33.0;3;own;little;moderate;4439;18-month;business
344;37.0;1;own;little;rich;3949;10-month;car
345;43.0;1;own;little;little;1459;15-month;radio/TV
346;23.0;2;own;little;moderate;882;13-month;radio/TV
347;;0;rent;quite rich;moderate;3758;24-month;radio/TV
348;34.0;1;own;moderate;little;1743;6-month;business
349;32.0;2;free;rich;moderate;1136;9-month;education
350;23.0;2;rent;little;little;1236;9-month;domestic appliances
351;29.0;2;own;little;moderate;959;9-month;furniture/equipment
352;38.0;3;own;little;little;3229;18-month;car
353;28.0;2;rent;little;little;6199;12-month;radio/TV
354;46.0;2;free;quite rich;little;727;10-month;education
355;23.0;1;;little;moderate;1246;24-month;car
356;;2;own;little;little;2331;12-month;radio/TV
357;26.0;3;own;little;little;4463;36-month;radio/TV
358;28.0;2;own;little;little;776;12-month;radio/TV
359;23.0;2;rent;little;little;2406;30-month;furniture/equipment
360;61.0;2;free;little;moderate;1239;18-month;education
361;37.0;3;own;little;rich;3399;12-month;radio/TV
362;36.0;2;own;little;rich;2247;12-month;car
363;;2;rent;little;little;1766;6-month;furniture/equipment
364;25.0;0;own;little;little;2473;18-month;furniture/equipment
365;36.0;2;own;little;little;1542;12-month;business
366;27.0;2;own;little;little;3850;18-month;car
367;22.0;2;rent;little;little;3650;18-month;furniture/equipment
368;42.0;2;own;little;little;3446;36-month;furniture/equipment
369;40.0;2;rent;little;moderate;3001;18-month;furniture/equipment
370;36.0;2;own;little;little;3079;36-month;car
371;33.0;2;own;little;little;6070;18-month;radio/TV
372;23.0;2;rent;little;little;2146;10-month;furniture/equipment
373;63.0;3;free;little;little;13756;60-month;car
374;60.0;3;free;moderate;moderate;14782;60-month;vacation/others
375;37.0;2;rent;little;little;7685;48-month;business
376;34.0;2;own;little;little;2320;18-month;radio/TV
377;36.0;2;free;little;little;846;7-month;radio/TV
378;57.0;3;free;little;moderate;14318;36-month;car
379;52.0;1;own;moderate;little;362;6-month;car
380;;2;own;little;little;2212;20-month;furniture/equipment
381;38.0;3;free;little;moderate;12976;18-month;car
382;25.0;2;rent;little;little;1283;22-month;car
383;26.0;2;own;little;rich;1330;12-month;car
384;26.0;1;;moderate;little;4272;30-month;business
385;25.0;2;own;little;little;2238;18-month;radio/TV
386;21.0;2;rent;little;little;1126;18-month;radio/TV
387;40.0;3;own;little;moderate;7374;18-month;furniture/equipment
388;27.0;2;own;quite rich;moderate;2326;15-month;business
389;27.0;2;own;little;little;1449;9-month;business
390;30.0;3;own;little;little;1820;18-month;car
391;19.0;1;rent;rich;moderate;983;12-month;furniture/equipment
392;39.0;3;free;little;little;3249;36-month;car
393;31.0;2;own;little;little;1957;6-month;radio/TV
394;31.0;3;own;little;little;2406;9-month;furniture/equipment
395;32.0;2;rent;moderate;moderate;11760;39-month;education
396;55.0;3;free;little;little;2578;12-month;furniture/equipment
397;46.0;2;own;little;little;2348;36-month;furniture/equipment
398;;2;rent;little;moderate;1223;12-month;car
399;43.0;1;own;rich;little;1516;24-month;radio/TV
400;39.0;2;own;little;little;1473;18-month;radio/TV
401;28.0;2;own;little;moderate;1887;18-month;business
402;;2;own;little;little;8648;24-month;business
403;27.0;1;own;little;little;802;14-month;car
404;43.0;2;own;little;moderate;2899;18-month;car
405;22.0;2;own;little;moderate;2039;24-month;radio/TV
406;43.0;2;;little;little;2197;24-month;car
407;27.0;2;own;little;little;1053;15-month;radio/TV
408;26.0;3;own;quite rich;little;3235;24-month;radio/TV
409;28.0;2;own;quite rich;rich;939;12-month;car
410;20.0;2;own;little;moderate;1967;24-month;radio/TV
411;35.0;3;own;little;little;7253;33-month;car
412;42.0;3;own;little;little;2292;12-month;business
413;40.0;1;rent;quite rich;little;1597;10-month;car
414;35.0;2;own;little;little;1381;24-month;car
415;35.0;2;own;little;little;5842;36-month;car
416;33.0;1;own;little;little;2579;12-month;car
417;;2;rent;little;little;8471;18-month;education
418;31.0;3;own;quite rich;little;2782;21-month;car
419;33.0;2;own;little;moderate;1042;18-month;car
420;20.0;2;rent;rich;little;3186;15-month;car
421;30.0;2;own;little;moderate;2028;12-month;car
422;47.0;1;own;little;moderate;958;12-month;car
423;34.0;3;own;moderate;little;1591;21-month;furniture/equipment
424;25.0;2;own;little;moderate;2762;12-month;furniture/equipment
425;21.0;2;rent;little;moderate;2779;18-month;car
426;29.0;2;own;little;little;2743;28-month;radio/TV
427;46.0;2;own;rich;little;1149;18-month;radio/TV
428;20.0;2;own;little;little;1313;9-month;furniture/equipment
429;55.0;0;free;little;little;1190;18-month;repairs
430;74.0;1;own;little;little;3448;5-month;business
431;29.0;3;own;little;moderate;11328;24-month;vacation/others
432;36.0;3;free;little;little;1872;6-month;furniture/equipment
433;33.0;2;own;little;little;2058;24-month;repairs
434;25.0;2;own;little;little;2136;9-month;furniture/equipment
435;25.0;2;own;little;moderate;1484;12-month;radio/TV
436;23.0;1;rent;quite rich;little;660;6-month;repairs
437;37.0;2;own;rich;little;1287;24-month;car
438;65.0;0;own;little;little;3394;42-month;repairs
439;26.0;0;;little;rich;609;12-month;business
440;39.0;3;own;little;little;1884;12-month;car
441;30.0;2;own;little;little;1620;12-month;furniture/equipment
442;29.0;2;own;little;moderate;2629;20-month;vacation/others
443;41.0;1;own;little;little;719;12-month;education
444;30.0;3;own;little;moderate;5096;48-month;furniture/equipment
445;41.0;1;rent;little;little;1244;9-month;education
446;34.0;2;own;little;little;1842;36-month;car
447;35.0;2;own;little;moderate;2576;7-month;radio/TV
448;55.0;3;own;little;rich;1424;12-month;furniture/equipment
449;61.0;2;own;rich;moderate;1512;15-month;repairs
450;30.0;3;own;little;little;11054;36-month;car
451;29.0;2;own;little;little;518;6-month;radio/TV
452;34.0;2;own;little;little;2759;12-month;furniture/equipment
453;35.0;3;own;little;little;2670;24-month;car
454;31.0;2;own;little;little;4817;24-month;car
455;29.0;3;own;little;little;2679;24-month;car
456;36.0;2;rent;little;little;3905;11-month;car
457;35.0;2;free;little;little;3386;12-month;car
458;27.0;2;own;little;little;343;6-month;domestic appliances
459;32.0;2;own;little;little;4594;18-month;radio/TV
460;37.0;2;own;little;little;3620;36-month;furniture/equipment
461;36.0;2;own;little;little;1721;15-month;car
462;34.0;3;;little;moderate;3017;12-month;furniture/equipment
463;38.0;2;own;little;moderate;754;12-month;education
464;34.0;2;;little;little;1950;18-month;business
465;63.0;2;own;little;little;2924;24-month;car
466;29.0;1;rent;little;little;1659;24-month;radio/TV
467;32.0;2;own;little;little;7238;48-month;radio/TV
468;26.0;2;own;little;little;2764;33-month;business
469;35.0;1;;little;little;4679;24-month;car
470;22.0;2;rent;moderate;moderate;3092;24-month;radio/TV
471;23.0;2;own;little;little;448;6-month;education
472;28.0;1;own;little;little;654;9-month;car
473;36.0;3;own;little;little;1238;6-month;education
474;33.0;2;own;little;moderate;1245;18-month;radio/TV
475;26.0;2;rent;little;little;3114;18-month;furniture/equipment
476;24.0;2;own;quite rich;little;2569;39-month;car
477;25.0;2;own;little;rich;5152;24-month;radio/TV
478;39.0;1;own;moderate;moderate;1037;12-month;business
479;44.0;2;own;little;little;1478;15-month;furniture/equipment
480;23.0;1;own;little;moderate;3573;12-month;radio/TV
481;26.0;2;own;little;moderate;1201;24-month;car
482;57.0;2;rent;rich;little;3622;30-month;furniture/equipment
483;30.0;2;own;rich;little;960;15-month;furniture/equipment
484;44.0;2;own;quite rich;little;1163;12-month;car
485;47.0;3;own;little;moderate;1209;6-month;car
486;52.0;2;own;little;little;3077;12-month;radio/TV
487;62.0;2;free;little;little;3757;24-month;car
488;35.0;1;rent;moderate;little;1418;10-month;car
489;;2;rent;little;little;3518;6-month;car
490;26.0;2;own;little;little;1934;12-month;radio/TV
491;42.0;3;;little;moderate;8318;27-month;business
492;27.0;2;own;moderate;little;1237;6-month;radio/TV
493;38.0;2;own;little;moderate;368;6-month;radio/TV
494;39.0;1;rent;little;little;2122;12-month;car
495;20.0;2;own;little;little;2996;24-month;furniture/equipment
496;29.0;3;rent;moderate;moderate;9034;36-month;furniture/equipment
497;40.0;2;own;little;little;1585;24-month;furniture/equipment
498;32.0;1;own;little;moderate;1301;18-month;radio/TV
499;28.0;2;own;moderate;rich;1323;6-month;car
500;27.0;2;own;little;little;3123;24-month;car
501;42.0;2;free;little;little;5493;36-month;car
502;49.0;2;own;moderate;rich;1126;9-month;radio/TV
503;38.0;2;own;moderate;moderate;1216;24-month;radio/TV
504;24.0;2;rent;little;little;1207;24-month;car
505;27.0;1;own;little;little;1309;10-month;car
506;36.0;2;own;quite rich;rich;2360;15-month;car
507;34.0;3;own;moderate;moderate;6850;15-month;car
508;28.0;2;own;little;little;1413;24-month;radio/TV
509;45.0;3;own;moderate;little;8588;39-month;car
510;26.0;2;own;little;little;759;12-month;car
511;32.0;3;free;little;little;4686;36-month;car
512;26.0;2;rent;little;rich;2687;15-month;business
513;20.0;2;rent;little;moderate;585;12-month;radio/TV
514;54.0;2;own;little;little;2255;24-month;car
515;37.0;2;own;little;little;609;6-month;car
516;40.0;1;own;little;little;1361;6-month;car
517;23.0;2;rent;little;little;7127;36-month;furniture/equipment
518;43.0;2;own;moderate;little;1203;6-month;car
519;36.0;2;free;little;little;700;6-month;radio/TV
520;44.0;2;free;little;little;5507;24-month;repairs
521;24.0;2;own;little;little;3190;18-month;radio/TV
522;;2;free;little;little;7119;48-month;furniture/equipment
523;23.0;2;own;moderate;little;3488;24-month;car
524;26.0;1;own;little;moderate;1113;18-month;radio/TV
525;30.0;2;own;little;moderate;7966;26-month;car
526;31.0;2;own;moderate;little;1532;15-month;education
527;42.0;1;own;little;little;1503;4-month;radio/TV
528;31.0;2;rent;little;little;2302;36-month;radio/TV
